B,CS,CPP,B@gmail.com,900011,English,CS599,3,On,,afternoon,morning,afternoon,morning,none,50%,4
C,CS,CPP,C@gmail.com,900012,English,CS599,1,,Off,none,evening,none,afternoon,evening,40%,1
E,CS,CPP,E@gmail.com,900014,English,CS599,4,On,Off,none,morning,morning,evening,none,60%,2
G,CS,CPP,G@gmail.com,900016,English,CS599,1,,Off,morning,morning,afternoon,morning,afternoon,70%,2
H,CS,CPP,H@gmail.com,900017,English,CS599,1,On,Off,afternoon,none,none,morning,none,50%,3
FFFFFF Alghofaili,CS,CPP,nalghofaili@gmail,222222,UnitedStates,CS599,1,On,Off,morning,morning,morning,morning,morning,80%
B,CS,CPP,B@gmail.com,900011,English,CS599,3,On,,afternoon,morning,afternoon,morning,none,50%,4
C,CS,CPP,C@gmail.com,900012,English,CS599,1,,Off,none,evening,none,afternoon,evening,40%,1
E,CS,CPP,E@gmail.com,900014,English,CS599,4,On,Off,none,morning,morning,evening,none,60%,2
G,CS,CPP,G@gmail.com,900016,English,CS599,1,,Off,morning,morning,afternoon,morning,afternoon,70%,2
H,CS,CPP,H@gmail.com,900017,English,CS599,1,On,Off,afternoon,none,none,morning,none,50%,3
FFFFFF Alghofaili,CS,CPP,nalghofaili@gmail,222222,UnitedStates,CS599,1,On,Off,morning,morning,morning,morning,morning,80%
